,Name,PolarityPerGene
0,YBR054W,ado1_5D_FP:0.44015444015444016;ado15DFP:0.44015444015444016;ado11DFP:0.4517374517374517;
1,YBR078W,ado1_5D_FP:0.08170310701956271;ado15DFP:0.08170310701956271;
2,YBR296C,ado1_5D_FP:0.4322132097334878;ado15DFP:0.4322132097334878;ado11DFP:0.589803012746234;
3,YCR005C,ado1_5D_FP:0.17485549132947978;ado15DFP:0.17485549132947978;
4,YGR192C,ado1_5D_FP:0.338;ado15DFP:0.338;
5,YKR039W,ado1_5D_FP:0.7204419889502762;ado15DFP:0.7204419889502762;
6,YMR092C,ado1_5D_FP:-0.5413737155219037;ado15DFP:-0.5413737155219037;
7,YMR217W,ado1_5D_FP:-0.3362887903736542;ado15DFP:-0.3362887903736542;
8,YNL104C,ado1_5D_FP:0.7721655024180548;ado15DFP:0.7721655024180548;
9,YNL327W,ado1_5D_FP:-0.3105212663895107;ado15DFP:-0.3105212663895107;
10,YOL006C,ado1_5D_FP:0.8874945910861101;ado15DFP:0.8874945910861101;
11,YPL159C,ado1_5D_FP:0.6094364351245085;ado15DFP:0.6094364351245085;
12,YPL265W,ado1_5D_FP:0.4978118161925602;ado15DFP:0.4978118161925602;
13,YBR072W,WT_1D_FP:0.9473684210526316;ado11DT:0.9473684210526316;
14,YCR010C,WT_1D_FP:0.9273153575615476;ado11DT:0.9273153575615476;
15,YHR132C,WT_1D_FP:0.9690880989180836;ado11DT:0.9690880989180836;
16,YIL128W,WT_1D_FP:-0.8548387096774194;ado11DT:-0.8548387096774194;
17,YJL159W,WT_1D_FP:-0.8390989541432019;ado11DT:-0.8390989541432019;ado11DFP:0.9452936444086888;
18,YJR094W-A,WT_1D_FP:0.8162162162162162;ado11DT:0.8162162162162162;
19,YKR009C,WT_1D_FP:0.25961538461538464;ado11DT:0.25961538461538464;
20,YLR075W,WT_1D_FP:-0.25037481259370314;WT_5D_FP:0.9460269865067468;ado11DT:-0.25037481259370314;ado1logT:0.9460269865067468;
21,YMR107W,WT_1D_FP:0.10601719197707736;ado11DT:0.10601719197707736;
22,YNL160W,WT_1D_FP:-0.20825515947467169;ado11DT:-0.20825515947467169;
23,YPL061W,WT_1D_FP:0.23404255319148934;ado11DT:0.23404255319148934;
24,Q0070,ado1logFP:-0.024917121163511927;
25,Q0250,ado1logFP:-0.4927344782034346;
26,YBR008C,ado1logFP:-0.095873786407767;
27,YBR093C,ado1logFP:-0.8633451957295374;
28,YBR208C,ado1logFP:0.9967326193501544;
29,YDL171C,ado1logFP:0.7226277372262774;
30,YJL139C,ado1logFP:-0.3618012422360248;
31,YKL112W,ado1logFP:0.5439235320892125;
32,YOL052C,ado1logFP:0.4781879194630873;
33,YOR245C,ado1logFP:-0.5262321144674086;
34,YOR261C,ado1logFP:0.1787819253438114;
35,YPL223C,ado1logFP:0.7204724409448819;
36,YPR024W,ado1logFP:-0.19643652561247216;
37,YBL030C,ado11DFP:-0.3361169102296451;
38,YBR295W,ado11DFP:0.6653888280394304;
39,YDL217C,ado11DFP:0.0336;
40,YDR238C,ado11DFP:0.5942524803284297;
41,YDR258C,ado11DFP:0.08494050061551088;
42,YEL031W,ado11DFP:-0.8717456837489723;
43,YER133W,ado11DFP:0.369283276450512;
44,YFL014W,ado11DFP:-0.3836858006042296;
45,YGL223C,ado11DFP:0.4374501992031872;
46,YGR282C,ado11DFP:0.32767762460233296;
47,YKL081W,ado11DFP:-0.06513409961685822;
48,YKL152C,ado11DFP:-0.548993288590604;
49,YKL198C,ado11DFP:0.5417734495130703;
50,YLL026W,ado11DFP:-0.9230205278592376;
51,YOL086C,ado11DFP:-0.25572519083969464;
